name,address,city,phone,email,website,category
Cho Thuê Nhanh Hơn - Công Ty TNHH Thương Mại Và Dịch Vụ Cho Thuê Nhanh Hơn,"33 Hoàng Hoa Thám, P. Tân Chính, Q. Thanh Khê, ",Tp. Đà Nẵng,0905 984 486 - 098 20 999 20            ,admin@thuenhanhhon.com                            ,http://thuenhanhhon.com,Bất Động Sản - Dịch Vụ Bất Động Sản
Công Ty TNHH S2 Vina,"Thôn Tiêu Sơn, X. Tương Giang, TX. Từ Sơn, ",Bắc Ninh,0913004197                              ,lienhe@s2vina.com                                 ,,Bất Động Sản - Dịch Vụ Bất Động Sản
Bất Động Sản IMUABANBDS - Công Ty CP IMUABANBDS,"16 Nguyễn Sơn Hà, P. Hòa Cường Bắc, Q. Hải Châu, ",Tp. Đà Nẵng,0935373173                              ,imuabanbds@gmail.com                              ,http://imuabanbds.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Bất Động Sản Phú Mỹ Tâm - Công Ty TNHH Thương Mại Và Dịch Vụ Phú Mỹ Tâm,"KP. Mỹ Thạnh, X. Mỹ Xuân, H. Tân Thành, ",Bà Rịa-Vũng Tàu,"0965 886 168, 0982 526 134              ",phumytam@gmail.com                                ,http://phumytamtanthanh.com,Bất Động Sản - Dịch Vụ Bất Động Sản
Saigon Office - Công Ty TNHH Saigon Office,"Số 208 Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, ",Tp. Hồ Chí Minh (TPHCM),"(028) 39252582, Hotline: 0908.600.359         ",info@saigonoffice.com.vn                          ,http://saigonoffice.com.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Bất Động Sản Thái Bình Thịnh Vượng - Công Ty TNHH ĐT Bất Động Sản Thái Bình Thịnh Vượng,"465/1/4 Tân Kỳ Tân Quý, P. Tân Quý, Q. Tân Phú, ",Tp. Hồ Chí Minh (TPHCM),"(028) 38473668, Hotline: 079 98 777 68        ",tbtvland@gmail.com                                ,http://thaibinhthinhvuong.com.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Phúc Đạt - Công Ty TNHH Sản Xuất Và Thương Mại Phúc Đạt,"4A/19 Khu Phố Thống Nhất, P. Dĩ An, TX. Dĩ An, ",Bình Dương,(0274) 3733888                                 ,phucdat207@gmail.com                              ,http://www.phucdat.com.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
An Phú - Công Ty Cổ Phần An Phú,"606 Trần Hưng Đạo, P. 2, Q. 5, ",Tp. Hồ Chí Minh (TPHCM),(028) 39238545                                ,anphucorp@anphucorp.com.vn                        ,http://www.anphucorp.com.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Vạn Thịnh Phát - Công Ty Cổ Phần Đầu Tư Vạn Thịnh Phát,"193-203 Trần Hưng Đạo, P. Cô Giang, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 38367749                                ,info@vtpinvestment.com                            ,http://www.vtpinvestment.com,Bất Động Sản - Dịch Vụ Bất Động Sản
MEEYLAND  - Văn Phòng Đại Diện Chi Nhánh Đồng Nai,"Trường Sĩ Quan Lục Quân 2, P. Tam Phước, Tp. Biên Hòa, ",Đồng Nai,035 927 63 63  (zalo)                   ,danh.nguyenthanherg@gmail.com                     ,http://meeylanddongnai.com,Bất Động Sản - Dịch Vụ Bất Động Sản
Quản Lý Tòa Nhà HTC Sài Gòn - Công Ty TNHH Dịch Vụ Quản Lý Tòa Nhà HTC Sài Gòn,,Tp. Hồ Chí Minh (TPHCM),"(028) 66719090, 0903045007                    ",quanlyhtcsg@gmail.co                              ,http://htcsaigon.com,Bất Động Sản - Dịch Vụ Bất Động Sản
Bất Động Sản An Cư - Công Ty CP Dịch Vụ Bất Động Sản An Cư,"Tầng 23 Tòa Nhà Vinaconex 9, Đ. Phạm Hùng, P. Mễ Trì, Q. Nam Từ Liêm, ",Hà Nội,0969017557                              ,admin@officespace.vn                              ,http://officespace.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Công Ty Cổ Phần Đầu Tư Minh Hưng,"R4-Vinhomes Royal City, 72A, Nguyễn Trãi, Thanh Xuân, ",Hà Nội,(024) 62533586                                ,minhhunghomes@gmail.com                           ,http://minhhungland.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
Công Ty TNHH Đầu Tư Châu Âu Europ Invest,"Tầng 12, Tòa A1 - Viettel Complex, 285 Cách Mạng Tháng 8, P. 12, Q. 10, ",Tp. Hồ Chí Minh (TPHCM),(028) 62882882                                ,vn@europ-invest.com                               ,http://europ-invest.com,Bất Động Sản - Dịch Vụ Bất Động Sản
Công Ty Liên Doanh TNHH Khu Công Nghiệp Việt Nam-Singapore,"Số 8, Đại lộ Hữu Nghị, Khu Công Nghiệp Việt Nam-Singapore, Phường Bình Hòa, Thị xã Thuận An, ",Bình Dương,(0274) 3743898                                 ,marketing@vsip.com.vn                             ,http://vsip.com.vn,Bất Động Sản - Dịch Vụ Bất Động Sản
The Landmark - Công Ty Liên Doanh International Burotel,,Tp. Hồ Chí Minh (TPHCM),(028) 38222098                                ,info@thelandmarkvietnam.com                       ,http://www.thelandmarkvietnam.com,Bất Động Sản - Dịch Vụ Bất Động Sản
