#,name,address,city,phone,email,website,category
1,Công Ty TNHH TM DV Vật Liệu Và Thiết Bị Vĩnh Phú,"725B Đỗ Xuân Hợp, P. Phú Hữu, Q. 9, ",Tp. Hồ Chí Minh (TPHCM),(028) 66589777                                ,ctvinhphu@gmail.com                               ,http://vatlieuxaydungvinhphu.com,Xi Măng - Sản Xuất và Kinh Doanh
2,Cẩm Phả - Công Ty Cổ Phần Xi Măng Cẩm Phả,"Km6 P. Cẩm Thạch, TX. Cẩm Phả,Quốc Lộ 18A, ",Quảng Ninh,(0203) 3721998                                 ,info@camphacement.vn                              ,http://www.ximangcampha.vn,Xi Măng - Sản Xuất và Kinh Doanh
3,Sắt Thép Ngọc Linh - Công Ty TNHH Ngọc Linh,"VP & Cửa Hàng 1: 212 Kỳ Đồng, Q. Thanh Khê, ",Tp. Đà Nẵng,,info@ngoclinhdn.com.vn                            ,http://www.ngoclinhdn.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
4,Vật Liệu Xây Dựng Mạnh Tú - Công Ty TNHH Thương Mại Dịch Vụ Vật Liệu Xây Dựng Mạnh Tú,"90 Võ Văn Kiệt, P. Nguyễn Thái Bình, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),0917 555 999                            ,vlxdmanhtu555@gmail.com                           ,http://vlxdmanhtu.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
5,Công Ty Xi Măng Nghi Sơn,"Xã Hải Thượng, Huyện Tĩnh Gia, ",Thanh Hóa,(0237) 3862013                                 ,sale&planning@nghison.com.vn                      ,http://www.nghison.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
6,Vật Liệu Xây Dựng Nhà Xanh - Công Ty Cổ Phần Đầu Tư Và Phát Triển Xây Dựng Nhà Xanh,"489 Huỳnh Văn Lũy, P. Phú Mỹ, TP. Thủ Dầu Một, ",Bình Dương,"(0274) 3515678, Hotline: 0933.106.187          ",xaydung@nhaxanh.com.vn                            ,http://nhaxanh.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
7,VLXD Tiến Thành Phát - Công Ty TNHH SX VLXD Tiến Thành Phát,"129/34 Nguyễn Chế Nghĩa, P. 12, Q. 8, ",TP. Hồ Chí Minh,"0934 040 777, 0903 166 229              ",sale@gachtienthanhphat.com                        ,http://gachtienthanhphat.com,Xi Măng - Sản Xuất và Kinh Doanh
8,VLXD Hoàng Minh Châu - Công Ty TNHH VLXD Hoàng Minh Châu,"Lô 5 – B1.115 KĐTST Hòa Xuân, P. Hòa Xuân, Q. Cẩm Lệ, ",Tp. Đà Nẵng,Hotline: 0979.668.279 - 0935.911.979    ,Phonhc@gmail.com                                  ,http://vatlieuxaydungdanang.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
9,Vật Liệu Xây Dựng Thành Công - Công Ty TNHH TM DV Vận Tải Thuyết Quỳnh Như,"Tổ 16, Ấp An Qưới, Xã An Tịnh, Huyện Trảng Bàng, ",Tây Ninh,"(0276) 3884 112, 0943 771 314                  ",quynhnhu0409@gmail.com                            ,http://vlxdthuyetquynhnhu.bizz.vn,Xi Măng - Sản Xuất và Kinh Doanh
10,Vật Liệu Xây Dựng Hiệp Hà - Công Ty TNHH MTV Vật Liệu Xây Dựng Hiệp Hà,"33/2 Cao Lỗ, P. 4, Q. 8, ",Tp. Hồ Chí Minh (TPHCM),"(028) 62711440, 0909 67 2222                  ",ctyhiepha@gmail.com                               ,http://vlxdhiepha.com,Xi Măng - Sản Xuất và Kinh Doanh
11,Công Ty TNHH Một Thành Viên Khoáng Sản Vôi Việt,"Số 10 Tân Đẩu Long, P. Tân Thành, TP. Ninh Bình, ",Ninh Bình,(0229) 6559999                                 ,vietlime@gmail.com                                ,http://vietlime.vn,Xi Măng - Sản Xuất và Kinh Doanh
12,Công Ty TNHH MTV Xi Măng Vicem Hoàng Thạch,"Khu Bích Nhôi 2, P. Minh Tân, TX. Kinh Môn, ",Hải Dương,(0220) 3821092                                 ,contact@ximanghoangthach.com                      ,http://www.ximanghoangthach.com,Xi Măng - Sản Xuất và Kinh Doanh
13,Công Ty CP Xi Măng Đỉnh Cao,"Số 166, Đờng Nguyễn Thái Học, P. Quang Trung, TP. Vinh, ",Nghệ An,(028) 73009699                                ,info@topcement.vn                                 ,http://topcement.vn,Xi Măng - Sản Xuất và Kinh Doanh
14,Công Ty TNHH TM Và DV Minh Toàn,"72A Điện Biên Phủ, P. Chính Gián, Q. Thanh Khê, ",Tp. Đà Nẵng,(0236) 3649188                                 ,minhtoan72a@gmail.com                             ,http://minhtoan.vn,Xi Măng - Sản Xuất và Kinh Doanh
15,Công Ty CP Xi Măng Lạng Sơn,"Đường Phai Vệ, P. Đông Kinh, Tp. Lạng Sơn, ",Lạng Sơn,(0205) 3870195                                 ,info@ximanglangson.com.vn                         ,http://ximanglangson.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
16,Công Ty TNHH HAMINCO,"Số 34, Đường 882, P. Phú Hữu, Q. 9, ",Tp. Hồ Chí Minh (TPHCM),(028) 22362616                                ,hamincocongty@gmail.com                           ,http://haminco.com.vn,Xi Măng - Sản Xuất và Kinh Doanh
17,Công Ty CP Nghĩa Thành Viễn Đông,"16 Bis Nguyễn Đình Chiểu, P. Đa Kao, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 39107138                                ,info@nghiathanhfareast.com                        ,http://nghiathanhfareast.com,Xi Măng - Sản Xuất và Kinh Doanh
18,Công Ty TNHH Thế Giới Bê Tông,"195/12 Xô Viết Nghệ Tĩnh, P. 17, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),(028) 66818492                                ,thegioibetong@gmail.com                           ,http://thegioibetong.vn,Xi Măng - Sản Xuất và Kinh Doanh
19,Công Ty TNHH Bảo Chứng,"89/2 Phan Huy ích, P. 15, Q. Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),(028) 38 155 100 - Hotline: 0909.477.472      ,hathuy.guarantee@gmail.com                        ,http://www.phanphoiximang.vn,Xi Măng - Sản Xuất và Kinh Doanh
20,Công Ty TNHH TM - DV Minh Châu,"Lô 110 Đường A2, KĐT VCN Phước Hải, P. Phước Hải, Tp. Nha Trang, ",Khánh Hòa,0989158819                              ,minhchauctynt@gmail.com                           ,http://cong-ty-xi-mang-minh-chau.business.site,Xi Măng - Sản Xuất và Kinh Doanh
21,Công Ty CP Tập Đoàn Thành Công,"Số 10A Ngô Quyền, Cẩm Thượng, Tp. Hải Dương, ",Hải Dương,(0220) 3898839                                 ,info.thanhconggroup@gmail.com                     ,http://tcgvn.com,Xi Măng - Sản Xuất và Kinh Doanh
22,Công Ty TNHH Sản Xuất Và Thương Mại Hải Vân - Chi Nhánh Đồng Nai,"Số 168, đường ĐT769, X. Lộc An, H. Long Thành, ",Đồng Nai,0909477472                              ,robin.thuyvi@gmail.com                            ,http://www.phanphoiximang.vn,Xi Măng - Sản Xuất và Kinh Doanh
23,Công Ty Cổ Phần Vật Liệu Xây Dựng Miền Trung,"Số 33, Đường Nguyễn Thái Học, P. Lê Lợi, TP. Vinh, ",Nghệ An,(0238) 3536568                                 ,vlxdcencom@gmail.com                              ,http://cencom.vn,Xi Măng - Sản Xuất và Kinh Doanh
24,Công Ty TNHH Xi Măng Khánh Hòa,"158 Lê Hồng Phong, P. Phước Tân, Tp. Nha Trang, ",Khánh Hòa,(0258) 3871275                                 ,ximangkhanhhoa@yahoo.coM                          ,http://ximangkhanhhoa.com,Xi Măng - Sản Xuất và Kinh Doanh
25,Công Ty TNHH Vương Phúc Nguyên,"273, Đường Hồ Văn Cống, P. Tương Bình Hiệp, TP Thủ Dầu Một, ",Bình Dương,0949353598                              ,npp.vuongphucnguyen@gmail.com                     ,http://ximangphucnguyen.com,Xi Măng - Sản Xuất và Kinh Doanh
