#,name,address,city,phone,email,website,category
1,Hóa Chất Kemic - Công Ty Cổ Phần Kemic,"Phòng 1904, Tòa Nhà 24T1, Đường Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, ",Hà Nội,(024) 62672266                                ,info@kemic.vn                                     ,http://www.kemic.vn,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
2,Hóa Chất Điền Hưng - Công Ty TNHH Một Thành Viên Điền Hưng,"Số 23F/8, KP. Đông Nhì, P. Lái Thiêu, Thành phố Thuận An, ",Bình Dương,"0901.681.685, 0909.729.100              ",dienhung2014@gmail.com                            ,http://hoachatdienhung.com,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
3,Công Ty Cổ Phần Quốc Tế TM GROW,"Trung Tâm Dịch Vụ KCN Amata, Đường Amata, KCN Amata, P. Long Bình, TP. Biên Hòa, ",Đồng Nai,"(0251) 6278888, 6263333                        ",tmgrow@tm.net.vn                                  ,http://tm.net.vn,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
4,Hóa Chất Vạn Phú Lâm - Công Ty TNHH Vạn Phú Lâm,"B10, Đường D, KDC An Bình, KP. 1, P. An Bình, TP. Biên Hòa, ",Đồng Nai,"(0251) 3512988, Hotline: 0933.189.281          ",vanphulamltd@gmail.com                            ,http://vanphulam.com,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
5,Hóa Chất EUROCHEM - Công Ty TNHH Thương Mại EUROCHEM,"Số 128 Đường 2, Khu Phố 9, P. Trường Thọ, Q. Thủ Đức, ",Tp. Hồ Chí Minh (TPHCM),,headoffice@eurochem.com.vn                        ,http://eurochem.com.vn,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
6,Hoá Chất Trương Lộc - Công Ty TNHH Hoá Chất Trương Lộc,"Số 199/16 Khu Phố 9, P. Tam Hiệp, TP. Biên Hòa, ",Đồng Nai,"(0251) 2600670, Hotline: 0908354230            ",hoachattruongloc@gmail.com                        ,http://hoachattruongloc.com,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
7,Hóa Chất Ứng Dụng C.A - Công Ty TNHH Hóa Chất Ứng Dụng C.A,"37 Lê Quang Định, P. 14, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),(028) 35107811 - Hotline: 0903 810 452        ,snfvietnam@gmail.com                              ,http://caco.com.vn,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
8,Hóa Chất Công Nghiệp Đăng Anh - Công Ty TNHH TMDV Xuất Nhập Khẩu Đăng Anh,"Tầng 5, Tòa Nhà Songdo, Số 62A Phạm Ngọc Thạch, P. 6, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),0919 967 068                            ,danganh66666@gmail.com                            ,http://danganhvn.com,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
9,Hóa Chất Thành An - Công Ty TNHH Hóa Chất Và Môi Trường Thành An,"12D/1, Đường HT23, P. Hiệp Thành, Q. 12, ",Tp. Hồ Chí Minh (TPHCM),"(028) 35977645, Hotline : 0947 223 947        ",hoachatthanhan@gmail.com                          ,http://hoachatthanhan.com,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
10,Hóa Chất Loan Anh - Công Ty TNHH Một Thành Viên Dịch Vụ Thương Mại Hoá Chất Loan Anh,"19/15 Khu C, KP. Tân Phú 1, P. Tân Bình, TX. Dĩ An, ",Bình Dương,"(0274) 6291163, 0918 532 250                   ",loananhchemicals@yahoo.com                        ,http://www.hoachatloananh.bizz.vn,"Hóa Chất - Sản Xuất, Nhập Khẩu Và Phân Phối Hóa Chất"
