name,address,city,phone,email,website,category
Chuỗi ắc Quy PowerLand - Công Ty Cổ Phần Năng Lượng Powerland,"36 Cù Lao, Phường 2, Quận Phú Nhuận ",Tp. Hồ Chí Minh (TPHCM),"(028) 7303 3388, Hotline: 0948 918 008        ",chido@powerland.vn                                ,http://powerland.vn,ắc Quy Xe Nâng
ắc Quy Total Việt Nam - Công Ty TNHH Total Việt Nam,"Khu 5, Xã Chu Hóa, Thành Phố Việt Trì, ",Tỉnh Phú Thọ,"(0210) 3772368, Hotline : 0913.99.2323         ",totalbattery@gmail.com                            ,http://acquytotal.com,ắc Quy Xe Nâng
ắc Quy Sebang Battery Vina - Công Ty TNHH Sebang Battery Vina,"Lô B2, KCN Dệt May Nhơn Trạch, TT. Hiệp Phước, H. Nhơn Trạch, ",Đồng Nai,0939 421 521                            , ,,ắc Quy Xe Nâng
Dịch vụ xe nâng Phúc Minh - Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật Xe Nâng Phúc Minh,Số 52/1 BĐường ĐT 769H.Long Thành T.Đồng Nai ,Đồng Nai,"(0274) 46502555, 0975023619                    ",xenangphucminh@gmail.com                          ,http://binhdienxenang48v.com,ắc Quy Xe Nâng
Ắc Quy Nhật Mai Group - Công Ty TNHH Nhật Mai Group,"Số 157, Đường Thạnh Lộc 15, P. Thạnh Lộc, Q. 12, ",Tp. Hồ Chí Minh (TPHCM),0909179929  -  0913233279               ,vanquyen@nhatmai.vn                               ,http://nhatmai.vn,ắc Quy Xe Nâng
Công Ty TNHH K&V,"Lô A-3K-CN, KCN Mỹ Phước 3, P. Mỹ Phước, TX. Bến Cát, ",Bình Dương,"(0274) 3567945, 0934605687                     ",kv.battery@gmail.com                              ,http://kvbattery.com,ắc Quy Xe Nâng
Công Ty Cổ Phần Pin ắc Quy Miền Nam (PINACO),"321 Trần Hưng Đạo, P. Cô Giang, Q. 1, ",TPHCM,"(028) 39203062, 39203063                      ",pinaco@pinaco.com.vn                              ,http://pinaco.com,ắc Quy Xe Nâng
Công Ty TNHH TM SX Ắc Quy Hàn Châu,"Số 58, Đường Số 3A, Cư Xá Bình Thới, P. 8, Q. 11, ",Tp. Hồ Chí Minh (TPHCM),"(028) 37660757, 39627440, 38581309            ",acquihanchau@gmail.com                            ,http://oriolebattery.com.vn,ắc Quy Xe Nâng
Công Ty TNHH Máy Và Thiết Bị TNT Việt Nam,"Tòa nhà MD Complex Tower, 68 Nguyễn Cơ Thạch, P. Cầu Diễn, Q. Nam Từ Liêm, ",Hà Nội,0973263344                              ,info@tntvn.com.vn                                 ,http://dichvuxenang.com,ắc Quy Xe Nâng
Công Ty TNHH MTV Ắc Quy Xe Điện V Và H,"Lô A-3K-CN, KCN Mỹ Phước 3, P. Mỹ Phước, TX. Bến Cát, ",Bình Dương,(0274) 3567945                                 ,vanphu.kv@gmail.com                               ,http://acquyxenang.vn,ắc Quy Xe Nâng
Dịch vụ xe nâng Phúc Minh - Công Ty TNHH Thương Mại Dịch Vụ Kỹ Thuật Xe Nâng Phúc Minh,"189/4B KP.Đông An , P.Tân Đông Hiệp , TX Dĩ An , Bình Dương ",Bình Dương,0975023619                              ,xenangphucminh@gmail.com                          ,http://binhdienxenang48v.com,ắc Quy Xe Nâng
ắc Quy Thanh Tâm - Công Ty TNHH MTV Thương Mại Dịch Vụ Kỹ Thuật Thanh Tâm,"55/1Q Ấp Nam Lân, Xã Bà Điểm, Huyện Hóc Môn, ",Tp. Hồ Chí Minh (TPHCM),0909 756 125                            ,info@acquythanhtam.vn                             ,http://acquythanhtam.vn,ắc Quy Xe Nâng
Công Ty TNHH MTV Ắc Quy Đức Hải,"Số 1/1, KP. Bình Đáng, P. Bình Hòa, TX. Thuận An, ",Bình Dương,(0274) 3844111                                 ,dovanan2666@gmail.com                             ,,ắc Quy Xe Nâng
