#,name,address,city,phone,email,website,category
1,Công Ty Đá Thạch Anh Trắng Giá Tốt,"Tổ 12, P. Quyết Thắng, TP. Sơn La, ",Sơn La,,damquanglan1957@gmail.com                         ,,Khoáng Sản - Công Ty Khoáng Sản
2,Khoáng Sản Thanh Tâm - Công Ty TNHH Thanh Tâm,"Số 25, Đường Phan Đình Phùng, TP. Đông Hà, ",Quảng Trị,"0233.552.957, 0983459999                ",thanhtamtitan@yahoo.com                           ,http://thanhtamtitan.com,Khoáng Sản - Công Ty Khoáng Sản
3,Khoáng Sản Nam Khánh - Công Ty TNHH Sản Xuất Thương Mại Và Vật Tư Khoáng Sản Nam Khánh,"Số 9 Khu TT Liên Đoàn Intergeo, Xóm 1A, Thôn Hoàng 4, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, ",Hà Nội,"Hotline: 0913343428, 0982271111         ",talcnamkhanh@gmail.com                            ,http://talcnamkhanh.com,Khoáng Sản - Công Ty Khoáng Sản
4,Khoáng Sản Hiếu Nga - Công Ty TNHH Sản Xuất Thương Mại Hiếu Nga,"Khu 3, Tam Cường, Tam Nông, ",Phú Thọ,(0210) 6533999                                 ,hieungacompany@gmail.com                          ,http://botmica.com,Khoáng Sản - Công Ty Khoáng Sản
5,Khoáng Sản Nguyễn Đức - Doanh Nghiệp Tư Nhân Nguyễn Đức,"Tổ 14, P. Trưng Vương, TP. Thái Nguyên, ",Thái Nguyên,Hotline:  0368 888 999                  ,nguyenduc.dntn@gmail.com                          ,http://nguyenduc.bizz.vn,Khoáng Sản - Công Ty Khoáng Sản
6,Bột Đá K.H.V - Công Ty Cổ Phần K.H.V,,Tp. Hải Phòng,(0225) 3652116                                 ,marketing@khv.com.vn                              ,http://www.khv.com.vn,Khoáng Sản - Công Ty Khoáng Sản
7,Than Mạnh Thành Công - Công Ty TNHH MTV Mạnh Thành Công,"Số D8, Tổ 5, Khu Phố 4, Phường Tân Hiệp, Biên Hòa, ",Đồng Nai,"0825 428 333, Hotline: 0903 664 579     ",manhthanhcong@gmail.com                           ,http://www.manhthanhcong.com,Khoáng Sản - Công Ty Khoáng Sản
8,Than Đá Minh Tuân - Công Ty TNHH XD Và Đầu Tư Thương Mại Minh Tuân,"Số 11b Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, ",Hà Nội,0976820219                              ,minhtuanxddt@gmail.com                            ,http://thankhoangsan.com,Khoáng Sản - Công Ty Khoáng Sản
9,Than Nam Hải - Công Ty TNHH Chế Biến Và Kinh Doanh Than Nam Hải,,Tp. Hồ Chí Minh (TPHCM),0909 029 898                            ,thannamhai@yahoo.com                              ,http://thannamhai.com,Khoáng Sản - Công Ty Khoáng Sản
10,Công Ty TNHH Khoáng Sản Sơn Hà 18,"Núi Mâm Xôi, X. Thanh Sơn, H. Kim Bảng, ",Hà Nam,931717698 / +84932222698                ,Shcgroup.vn@gmail.com                             ,http://Shcgroup.vn,Khoáng Sản - Công Ty Khoáng Sản
11,Bột Đá Tân Trường Hưng - Công Ty TNHH Tân Trường Hưng,"Khu Công nghiệp Thi Sơn, Kim Bảng, ",Hà Nam,Hotline: 0978 206 887 - 0904 363 893    ,kd.tantruonghung@gmail.com                        ,http://botdavoi.com,Khoáng Sản - Công Ty Khoáng Sản
12,Vôi Càng Long - Công Ty TNHH Một Thành Viên Vôi Càng Long Long An,"52A Bến Phú Định, P. 16, Q. 8, ",Tp. Hồ Chí Minh (TPHCM),"(028) 22441111, 38765431, 0909607080          ",voicanglong@gmail.com                             ,http://voicanglong.com,Khoáng Sản - Công Ty Khoáng Sản
13,Công Ty TNHH Đầu Tư Phát Triển Quốc Tế Sơn Hà,"Head Office: Vĩnh Quỳnh, H. Thanh Trì, ",Hà Nội,0936.162.698/0934.689.598/ 0936.454.698 ,"SHCgroup.vn@gmail.com, kd1.shcgroup@gmail.com,    ",http://shcgroup.vn,Khoáng Sản - Công Ty Khoáng Sản
14,Vôi Tấn Phương Nam - Công Ty TNHH Thương Mại Và Dịch Vụ Vận Tải Tấn Phương Nam,"Thôn Nhân Lý, Xã Cao Sơn, Huyện Thủy Nguyên, ",Tp. Hải Phòng,"0934 363 351, 0904 366 198              ",tanphuongnamxdhp@gmail.com                        ,http://tanphuongnam.vn,Khoáng Sản - Công Ty Khoáng Sản
15,Bột Cao Lanh Sam Com - Công Ty TNHH Một Thành Viên Sam Com,"Thửa Đất Số 595, Tờ Bản Đồ Số 21, Khu Phố Tân Bình, P. Tân Hiệp, TX. Tân Uyên, ",Bình Dương,"(0274) 3632153, 0903991741                     ",ctysamcom@gmail.com                               ,http://caolanhvinhhungphu.com,Khoáng Sản - Công Ty Khoáng Sản
16,Khoáng Sản Trường Hải - Công Ty CP TM Tư Vấn Bất Động Sản Trường Hải,"Số 90 Nguyễn Thị Thập, P. Tân Hưng, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),"(028) 62983894, Hotline: 0904338338           ",salestruonghai01@gmail.com                        ,http://vnkaolin.com,Khoáng Sản - Công Ty Khoáng Sản
17,Khoáng Sản Hải Phòng - Công Ty CP Khoáng Sản Hải Phòng,"KCN An Tràng, TT.  Trường Sơn, H. An Lão, ",Tp. Hải Phòng,(0225) 3891268                                 ,khoangsanhaiphong@gmail.com                       ,http://khoangsanhaiphong.com,Khoáng Sản - Công Ty Khoáng Sản
18,VINACOMIN - Tập Đoàn Công Nghiệp Than - Khoáng Sản Việt Nam,"226 Lê Duẩn, Q. Đống Đa, ",Hà Nội,(024) 35180141                                ,vp.tkv@vinacomin.vn                               ,http://vinacomin.vn,Khoáng Sản - Công Ty Khoáng Sản
19,Công Ty Cổ Phần Kỹ Nghệ Khoáng Sản Quảng Nam,"Cụm Công nghiệp Hà Lam - Chợ Được,H. Thăng Bình, ",Quảng Nam,(0235) 3665022                                 ,minco@dng.vnn.vn                                  ,http://www.minco.com.vn,Khoáng Sản - Công Ty Khoáng Sản
20,Hiệp Phú - Công Ty Cổ Phần Hiệp Phú,"KCN Gia Hiệp, H. Di Linh, ",Lâm Đồng,(0263) 3781009                                 ,cophanhiepphu@gmail.com                           ,http://www.hiepphubentonite.com.vn,Khoáng Sản - Công Ty Khoáng Sản
21,Khoáng Sản Thiên Sơn - Công Ty CP Xây Dựng Và Khoáng Sản Thiên Sơn,"Thôn Bút Sơn, X. Thanh Sơn, H. Kim Bảng, ",Hà Nam,0918602186                              ,baoly87@gmail.com                                 ,http://nguyenlieubotda.com.vn,Khoáng Sản - Công Ty Khoáng Sản
22,Công Ty Cổ Phần Khai Thác Khoáng Sản Hà An Phát,"Tầng 2, Số nhà 20, Tổ 5, Ngõ Liên Cơ 1, P. Cầu Diễn, Q. Nam Từ Liêm, ",Hà Nội,(0238) 3786868                                 ,haanphat3979@gmail.com                            ,http://hapminerals.com,Khoáng Sản - Công Ty Khoáng Sản
23,Công Ty Cổ Phần Khoáng Chất Công Nghiệp Việt Nam,"TDP Số 6, TT Quang Minh, H. Mê Linh, ",Hà Nội,(024) 62951338                                ,info@khoangchatcongnghiep.com                     ,http://www.khoangchatcongnghiep.com,Khoáng Sản - Công Ty Khoáng Sản
24,Công Ty Cổ Phần Khoáng Sản Á Châu,"Lô 32, Khu C, KCN Nam Cấm, H. Nghi Lộc, ",Nghệ An,(0238) 3791777                                 ,amc@amcvina.vn                                    ,http://amcvina.com,Khoáng Sản - Công Ty Khoáng Sản
25,Tập Đoàn Hóa Chất Việt Nam,"1A Tràng Tiền, Q. Hoàn Kiếm, ",Hà Nội,(024) 38240551                                ,infor.office@vinachem.com.vn                      ,http://www.vinachem.com.vn,Khoáng Sản - Công Ty Khoáng Sản
26,Công Ty CP Nam Trung Nghệ An,"Cụm CN Nghĩa Mỹ, TX. Thái Hòa, ",Nghệ An,(0238) 3810677                                 ,info@namtrungnghean.com                           ,http://www.namtrungnghean.com,Khoáng Sản - Công Ty Khoáng Sản
27,Công Ty Cổ Phần Tập Đoàn Khoáng Sản Hoàng Gia,"Xóm Đồng Sòng, X. Đồng Hợp, H. Quỳ Hợp, ",Nghệ An,0988841080                              ,info@hoanggiamineralgroup.com.vn                  ,http://hoanggiamineralgroup.com,Khoáng Sản - Công Ty Khoáng Sản
28,Chi Nhánh Công Ty Phát Triển Số 1 - Nhà Máy Chế Biến Đá Trắng CaCo3,"KCN Phía Nam, Xã Văn Tiến, ",Yên Bái,0981 408 658                            ,nguyenhien.pts1.yb@gmail.com	                     ,http://ptso1.com,Khoáng Sản - Công Ty Khoáng Sản
29,Công Ty CP Mitco Việt Nam,"409 Tam Trinh, Q. Hoàng Mai, ",Hà Nội,(024) 62544527                                ,tranhungmitco@outlook.com.vn                      ,,Khoáng Sản - Công Ty Khoáng Sản
30,Công Ty Cổ Phần Nhật Anh,"Khu B, KCN Sông Công 1, P. Bách Quang, TP. Sông Công, ",Thái Nguyên,(0208) 6272868                                 ,ctycophannhatanhtn@gmail.com                      ,http://ctcpnhatanhtn.com,Khoáng Sản - Công Ty Khoáng Sản
31,Công Ty TNHH Khoáng Sản Nhật Việt,"Tầng 4, Tòa Nhà SaigonHome, Số 39 Nguyễn Bỉnh Khiêm, Phường 1, Quận Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),"(028) 37650660, 35001794, 0901348179          ",huynam.minerals@gmail.com                         ,http://www.javichem.com,Khoáng Sản - Công Ty Khoáng Sản
32,Công Ty Cổ Phần Khoáng Sản Và Cơ Khí,"Số 2 Đặng Thái Thân, Q. Hoàn Kiếm, ",Hà Nội,(024) 38265106                                ,ksck@mimeco.vn                                    ,http://www.mimeco.vn,Khoáng Sản - Công Ty Khoáng Sản
33,Xí Nghiệp Chế Biến Lâm Sản Xuất Khẩu Pisico - Chi Nhánh Pisico,"Khu Vực 7, P. Nhơn Phú, TP. Quy Nhơn, ",Bình Định,(0256) 3514018                                 ,pisico1@pisico1.com.vn                            ,http://pisico.com.vn,Khoáng Sản - Công Ty Khoáng Sản
34,Công Ty TNHH Thương Mại Việt Siêu,"85/4 Tây Lân, P. Bình Trị Đông A, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),(028) 37540458                                ,vietsieu@hoachatvietsieu.com.vn                   ,http://www.hoachatvietsieu.com.vn,Khoáng Sản - Công Ty Khoáng Sản
35,Công Ty TNHH Một Thành Viên Apatit Việt Nam,"Đại Lộ Trần Hưng Đạo, Tổ 19, P. Bắc Cường, TP. Lào Cai, ",Lào Cai,(0214) 3852275                                 ,vinaapaco@vinaapaco.com                           ,http://vinaapaco.com,Khoáng Sản - Công Ty Khoáng Sản
36,Công Ty Cổ Phần Mông Sơn,"Tổ 18, Thị Trấn Yên Bình, H. Yên Bình, ",Yên Bái,(0216) 3885647                                 ,sales@mongson.vn                                  ,http://mongson.vn,Khoáng Sản - Công Ty Khoáng Sản
37,Công Ty TNHH Đầu Tư Và Thương Mại Hưng Thịnh An,"Số 10 Ngõ 77/10 Bùi Xương Trạch, P. Khương Đình, Q. Thanh Xuân ",Hà Nội,(024) 35593057                                ,kt.hungthinhan@gmail.com                          ,http://www.hungthinhan.com,Khoáng Sản - Công Ty Khoáng Sản
38,Công Ty TNHH Một Thành Viên Khoáng Sản Vôi Việt,"Số 10 Tân Đẩu Long, P. Tân Thành, TP. Ninh Bình, ",Ninh Bình,(0229) 6559999                                 ,vietlime@gmail.com                                ,http://vietlime.vn,Khoáng Sản - Công Ty Khoáng Sản
39,Vôi Thái Hòa - Công Ty TNHH Vôi Thái Hòa,"26 lô D, Phạm Văn Chí, P. 7, Q. 6, ",Tp. Hồ Chí Minh (TPHCM),0918.202.139                            ,voithaihoa@gmail.com                              ,http://voithaihoa.com,Khoáng Sản - Công Ty Khoáng Sản
40,Công Ty Cổ Phần Khoáng Sản 3 - Vimico,"Tổ 30, P. Duyên Hải, TP. Lào Cai, ",Lào Cai,(0214) 3821292                                 ,khoangsan3lc@gmail.com                            ,http://www.khoangsan3.com.vn,Khoáng Sản - Công Ty Khoáng Sản
41,Công Ty TNHH MRB Việt Nam,"Tầng 4 Tòa Nhà Hòa Anh Đào, Ngõ 33, Đường Lưu Hữu Tước, P. Mỹ Đình I, Q. Nam Từ Liêm, ",Hà Nội,(024) 62920216                                ,jason@mbr.com                                     ,http://mrb.vn,Khoáng Sản - Công Ty Khoáng Sản
42,Khoáng Sản Sơn Nam - Công Ty TNHH Khoáng Sản Sơn Nam,"1283/32/7 Huỳnh Tấn Phát, P. Phú Thuận, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),0909133211                              ,vunguyen838383@gmail.com                          ,http://khoangsanmiennam.com,Khoáng Sản - Công Ty Khoáng Sản
43,Công Ty Cổ Phần Tập Đoàn Khoáng Sản Và Thương Mại VQB,"Tầng 9, Tòa Nhà Văn Phòng 24T1, Số 1 Nguyễn Huy Tưởng, Q. Thanh Xuân, ",Hà Nội,(024) 3734 6333                               ,vqb@vqbgroup.com                                  ,http://vqbgroup.com,Khoáng Sản - Công Ty Khoáng Sản
44,Công Ty CP Đầu Tư Xuất Nhập Khẩu Khoáng Sản Phú Gia Phát,"327 Quốc Lộ 20, Thôn Ánh Mai 2, Xã Lộc Châu, TP. Bảo Lộc, ",Lâm Đồng,(0263) 3722333                                 ,phugiaphat@gmail.com                              ,http://phugiaphat.com.vn,Khoáng Sản - Công Ty Khoáng Sản
45,Công Ty CP Xuất Nhập Khẩu Petrolimex,"54-56 Bùi Hữu Nghĩa, P. 5, Q. 5, ",Tp. Hồ Chí Minh (TPHCM),(028) 38383400                                ,pitco@pitco.com.vn                                ,http://pitco.com.vn,Khoáng Sản - Công Ty Khoáng Sản
46,Công Ty Cổ Phần Khoáng Sản Thăng Long,"Thôn Hồng Sơn, X. Thanh Sơn, H. Kim Bảng, ",Hà Nam,0915219628                              ,steve.lim1368@gmail.com                           ,,Khoáng Sản - Công Ty Khoáng Sản
47,Công Ty TNHH Một Thành Viên Apatit Việt Nam,"Đại Lộ Trần Hưng Đạo, Tổ 19, P. Bắc Cường, TP. Lào Cai, ",Lào Cai,(0214) 3852275                                 ,vinaapaco@vinaapaco.com                           ,http://vinaapaco.com,Khoáng Sản - Công Ty Khoáng Sản
48,Công Ty TM Phân Lân Nung Chảy Lào Cai,"21/37, Ngõ 183, Đặng Tiến Đông, Đống Đa, ",Hà Nội,0936 197 675                            ,inc@lafco.vn                                      ,http://lafco.vn,Khoáng Sản - Công Ty Khoáng Sản
49,Công Ty Cổ Phần Thương Mại Và Khai Thác Khoáng Sản Dương Hiếu,"Số 1309, Ngõ 1581, Đờng 3/2, Tổ 20, P. Thành, TP. Thái Nguyên, ",Thái Nguyên,(0208) 3832410                                 ,info@duonghieu.com.vn                             ,http://www.duonghieu.com.vn,Khoáng Sản - Công Ty Khoáng Sản
50,Công Ty TNHH Đầu Tư Và Thương Mại Hưng Thịnh An,"Số 10 Ngõ 77/10 Bùi Xương Trạch, P. Khương Đình, Q. Thanh Xuân ",Hà Nội,(024) 35593057                                ,kt.hungthinhan@gmail.com                          ,http://www.hungthinhan.com,Khoáng Sản - Công Ty Khoáng Sản
51,Công Ty TNHH Một Thành Viên Khoáng Sản Vôi Việt,"Số 10 Tân Đẩu Long, P. Tân Thành, TP. Ninh Bình, ",Ninh Bình,(0229) 6559999                                 ,vietlime@gmail.com                                ,http://vietlime.vn,Khoáng Sản - Công Ty Khoáng Sản
52,Công Ty TNHH Thương Mại Việt Siêu,"85/4 Tây Lân, P. Bình Trị Đông A, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),(028) 37540458                                ,vietsieu@hoachatvietsieu.com.vn                   ,http://www.hoachatvietsieu.com.vn,Khoáng Sản - Công Ty Khoáng Sản
53,Công Ty TNHH Miền Duyên Hải,"Tầng 23, Tòa Nhà A&B, 76A Lê Lai, P. Bến Thành, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 22450996                                ,coastal.pigment@gmail.com                         ,http://www.botmau.net,Khoáng Sản - Công Ty Khoáng Sản
54,Công Ty CP Xuất Nhập Khẩu Petrolimex,"54-56 Bùi Hữu Nghĩa, P. 5, Q. 5, ",Tp. Hồ Chí Minh (TPHCM),(028) 38383400                                ,pitco@pitco.com.vn                                ,http://pitco.com.vn,Khoáng Sản - Công Ty Khoáng Sản
55,Công Ty TNHH Công Nghiệp Quốc Tế Trường Thành,"O2 Tòa Nhà Điều Hành VSIP Hải Phòng, H. Thủy Nguyên, ",Tp. Hải Phòng,(0225) 2838938                                 , ,http://truongthanhlime.com,Khoáng Sản - Công Ty Khoáng Sản
56,Công Ty TNHH Vận Tải Biển Trung Thành,"14D1 Thảo Điền, P. Thảo Điền, Q. 2, ",Tp. Hồ Chí Minh (TPHCM),0915641635                              ,info@ttshipping.vn                                ,http://ttshipping.vn,Khoáng Sản - Công Ty Khoáng Sản
57,Quốc Tế Việt Mỹ - Vpđd Công Ty TNHH Khoáng Sản Quốc Tế Việt Mỹ,"Khu Công Nghiệp Đông Xuyên, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,(0254) 38446104                                , ,,Khoáng Sản - Công Ty Khoáng Sản
58,Khoáng Sản An Bình - Công Ty TNHH Thương Mại Dịch Vụ Khai Thác Khoáng Sản An Bình,"472/18 Cách Mạng Tháng Tám, P. 11, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),0911110515                              ,khoangsananbinh@gmail.com                         ,,Khoáng Sản - Công Ty Khoáng Sản
59,Công Ty Cổ Phần Đầu Tư Và Thương Mại Doanh Nhân,"59 Phạm Ngọc Thạch, P. 6, Q. 3, ",Tp. Hồ Chí Minh (TPHCM),(028) 38205313                                ,info@bitracorp.com                                ,http://bitracorp.com,Khoáng Sản - Công Ty Khoáng Sản
60,Nam Đại Việt - Công Ty TNHH Nam Đại Việt,"I1/5 Nguyễn Ái Quốc, KP. 6, P. Trung Dũng, Tp. Biên Hòa, ",Đồng Nai,(0251) 8820589                                 ,namdaivietgroup@gmail.com                         ,http://namdaivietgroup.com,Khoáng Sản - Công Ty Khoáng Sản
61,Trung Dũng - Công Ty TNHH Thương Mại Trung Dũng,"KCN Châu Sơn, Tp. Phủ Lý, ",Hà Nam,(0226) 3848016                                 ,tranvandunghn@yahoo.com                           ,,Khoáng Sản - Công Ty Khoáng Sản
62,Vật Liệu Lọc Nước Dương Hưng - Công Ty TNHH MTV Vật Liệu Lọc Nước Dương Hưng,"Thôn Bắc, Cổ Dũng, Kim Thành, ",Hải Dương,(0220) 3562568                                 ,duongdanhtinh1958@gmail.com                       ,http://duonghung.com.vn,Khoáng Sản - Công Ty Khoáng Sản
