name,address,city,phone,email,website,category
Thép Kenzen - Công Ty TNHH Thép Kenzen,"Số 312 Hồng Lạc, Phường 11, Quận Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),,kenzensteel.com                                   ,http://thepkenzen.com,công ty nhập khẩu thép
Công  Ty TNHH MASAKATSU KOUZAI Việt Nam,"Đường Số 4, KCN Nhơn Trạch 3, Giai đoạn 2, X. Long Thọ, H. Nhơn Trạch, ",Đồng Nai,(0251) 3568777                                 ,masakatsu-vietnam@masakatsu-kouzai.co.jp          ,http://masakatsu-kouzai.co.jp,công ty nhập khẩu thép
Công Ty TNHH Thép IPC Sài Gòn,"01 Bạch Đằng , P. 2 , Q. Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),"(028) 35471574, 0906899758                    ",viet.bk@ipc-saigon.com.vn                         ,http://ipc-saigon.com.vn,công ty nhập khẩu thép
Công Ty TNHH Thương Mại Sản Xuất Dịch Vụ Hoa Lư,"Số C5, Đường D2, P. 25, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),,hoalusteel@gmail.com                              ,http://hoalusteel.com,công ty nhập khẩu thép
Đại Nam - Công Ty CP Sản Xuất Thép Đại Nam,"Lô Số 1, Đường Số 8, KCN Tân Tạo, P. Tân Tạo A, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),(028) 37545210                                ,dainamsteeljsc@gmail.com                          ,,công ty nhập khẩu thép
Công Ty TNHH MTV Thép Phúc Tiến,"307-309 Tam Trinh, Q. Hoàng Mai, ",Hà Nội,(024) 36342718                                ,hanhchinhhn@thepphuctien.vn                       ,http://thepphuctien.com,công ty nhập khẩu thép
Công Ty TNHH XNK TM Kiên Hoàng,"Số 5, Đường Số 13, P. Linh Trung, Q. Thủ Đức, ",Tp. Hồ Chí Minh (TPHCM),0932688799                              ,kienhoangsteels@yahoo.com.vn                      ,http://theptama515.com,công ty nhập khẩu thép
Thép Xây Dựng Biển Xanh - Công Ty TNHH MTV Xây Dựng - Thép Biển Xanh,"Thửa Đất 230, Tờ Bản Đồ 16, Đường Huỳnh Văn Lũy, KP. Chánh Long, P. Phú Chánh, TX. Tân Uyên, ",Bình Dương,"(0274) 3745986, 0942555478                     ",thepbienxanh@gmail.com                            ,http://thepbienxanh.bizz.vn,công ty nhập khẩu thép
Công Ty TNHH Đầu Tư Thương Mại Xuất Nhập Khẩu Thiên Hoàng Phát,"Số 36, Đường Số 03, Khu Phố Nhị Đồng 2, P. Dĩ An, TX. Dĩ An, ",Bình Dương,(0274) 3689666                                 ,thepthienhoangphatl@gmail.com                     ,http://thienhoangphatsteel.com,công ty nhập khẩu thép
Công Ty TNHH Thương Mại Xuất Nhập Khẩu Thép TAS,"Phòng 503, Tầng 5, 311 Điện Biên Phủ, Phường 4, Quận 3, ",Tp. Hồ Chí Minh (TPHCM),(028) 3818 1054                               ,sale@theptas.vn                                   ,http://theptas.vn,công ty nhập khẩu thép
