name,address,city,phone,email,website,category
Nông Sản Vilaconic - Công Ty Cổ Phần Vilaconic,"Vilaconic Hồ Chí Minh, G1-02.09, Toà Nhà Galaxy 9, Số 9, Nguyễn Khoái, P.1, Q. 4, ",Tp. Hồ Chí Minh (TPHCM),+84 986 778 999                         ,vilaconic@vilaconic.com                           ,http://rice-spices.com,
Hạt Điều Tưởng Luyến - Công Ty TNHH MTV Tưởng Luyến,"KP. Phước Sơn, P. Phước Bình, TX. Phước Long, ",Bình Phước,"0386088808, 0869368778                  ",nguyenvancuong05111991@gmail.com                  ,http://hatdieutuongluyen.com,
Nông Sản Galaxy Agro - Công Ty TNHH Galaxy Agro,"Số 14/16, Đường 990, Khu Phố 4, Phường Phú Hữu, Quận 9, ",Tp. Hồ Chí Minh (TPHCM),"(028) 39103066, 0983 3738 77                  ",nancy@galaxy-vn.com                               ,http://www.galaxy-vn.com,
GẠO FAS - CÔNG TY TNHH FAS VIỆT  NAM,"Phòng 401, Tòa Nhà FAS, Số 232 Hòa Bình, Cự Khối, Q. Long Biên, ",Hà Nội,"(024) 36757422,   0988 870 811                ",sales@fas.com.vn                                  ,http://fas.com.vn,
Công Ty CP Tập Đoàn Intimex,"61 Nguyễn Văn Giai, P. Đa Kao, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),(028) 38201754                                ,intimexhcm@intimexhcm.com                         ,http://intimexhcm.com,
"Tổng Công Ty Rau Quả, Nông Sản - Công Ty Cổ Phần","2 Phạm Ngọc Thạch, P. Kim Liên, Q. Đống Đa, ",Hà Nội,(024) 38523063                                ,vegetexcovn@vegetexcovn.com.vn                    ,http://www.vegetexcovn.com.vn,
Công Ty  CP Đầu Tư Tonkin,"Số 80, Ngõ 29, P. Thượng Thanh, Q. Long Biên, ",Hà Nội,(024) 37245599                                ,reception@tonkin-group.com                        ,http://tonkin-group.com,
Công Ty CP Bình Minh Vàng Vina,"Số 2, Đường Hải Thượng Lãn Ông, P. Hà Huy Tập, TP. Vinh, ",Nghệ An,(0238) 3528886                                 ,binhminhvang@gmail.com                            ,http://binhminhvang.com,
Công Ty Cổ Phần Quốc Tế Bamboo,"Tầng 5, Tòa nhà Ngôi Sao, số 15 lô B, đường Nguyễn Cảnh Dị, KĐT Đại Kim, Q. Hoàng Mai, ",Hà Nội,"(024) 62941158, Hotline: 0976 823 863         ",Info@bamboo-jsc.com                               ,http://bamboo-jsc.com,
Công Ty TNHH MTV Nông Sản DK,"228 ấp Phước Hưng 2, X. Phước Lâm, H. Cần Giuộc, ",Long An,(0272) 3723266                                 ,nga@dkltd.vn                                      ,http://dkltd.vn,
Công Ty TNHH MTV XNK Phú Khánh,"Số 58, Lô 11A Khu Biệt Thự Gleximco, Lê Trọng Tấn, X. An Khánh, H. Hoài Đức, ",Hải Dương,0968551168                              ,caohuyen1911@gmail.com                            ,http://phukhanh.net.vn,
Công Ty TNHH ĐT TM & XNK Tân Nhật Minh,"Lô 07/B12, Mỹ Đình 1, Cầu Diễn, Nam Từ Liêm, ",Hà Nội,(024) 22100007                                ,nhatminh0112008@gmail.com                         ,,
