#,name,address,city,phone,email,website,category
1,Công Ty TNHH Khoáng Sản và Xây Dựng Bảo Thạch,"Bút Phong, Liên Sơn, Kim Bảng, ",Hà Nam,"(024) 85892689, 0911 083 186                  ",khoangsanbaothach@gmail.com                       ,http://khoangsanbaothach.com.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
2,Vôi Minh Tâm - Công Ty Cổ Phần Sản Xuất Kinh Doanh Thương Mại Minh Tâm,"Thị Trấn Minh Tân, Huyện Kinh Môn, ",Hải Dương,Hotline: 0772.333.089 - 0976.402.666    ,minhtam.jsc1@gmail.com                            ,http://minhtamjsc.net,"Vôi Bột, Vôi Cục, Vôi Củ"
3,Vôi Bột Phú Thành Đạt - Công Ty TNHH Phú Thành Đạt,"Thôn Phi Liệt, X. Lại Xuân, H. Thủy Nguyên, ",Tp. Hải Phòng,"(0225) 3673328, Hotline: 0965861168            ",lienhe@phuthanhdat.com                            ,http://phuthanhdat.com,"Vôi Bột, Vôi Cục, Vôi Củ"
4,Công Ty TNHH Sản Xuất Và Thương Mại Hà Nam Ninh,"Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),"(024) 35626288, Hotline: 0913 962 698         ",info.hanamninhcompany@gmail.com                   ,http://www.hanamninh.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
5,Vôi Hiệp Phát - Công Ty TNHH MTV Đầu Tư Sản Xuất và Thương Mại Hiệp Phát,"Bích Nhôi, Minh Tân, Kinh Môn, ",Hải Dương,(0220) 3522363 - Hotline: 0911 354 986         ,hiepphat.sale@gmail.com                           ,http://voicongnghiep.bizz.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
6,Công Ty TNHH Khoáng Sản và Xây Dựng Bảo Thạch,"Tp. Hồ Chí Minh, ",Tp. Hồ Chí Minh (TPHCM),"0911 083 186, 0972 108 638              ",khoangsanbaothach@gmail.com                       ,http://khoangsanbaothach.com.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
7,Công Ty TNHH Sản Xuất Và Thương Mại Hà Nam Ninh,"TX. Dĩ An, ",Bình Dương,"(024) 35626288, Hotline: 0975 322 265         ",info.hanamninhcompany@gmail.com                   ,http://www.hanamninh.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
8,Công Ty TNHH Sản Xuất Và Thương Mại Hà Nam Ninh,"Tp. Biên Hòa, ",Đồng Nai,"(024) 35626288, Hotline: 0975 322 265         ",info.hanamninhcompany@gmail.com                   ,http://www.hanamninh.vn,"Vôi Bột, Vôi Cục, Vôi Củ"
9,Vôi Thái Hòa - Công Ty TNHH Vôi Thái Hòa,"26 lô D, Phạm Văn Chí, P. 7, Q. 6, ",Tp. Hồ Chí Minh (TPHCM),0918.202.139                            ,voithaihoa@gmail.com                              ,http://voithaihoa.com,"Vôi Bột, Vôi Cục, Vôi Củ"
10,Chi Nhánh Bình Dương -  Công Ty TNHH Vôi Thái Hòa,"Tỉnh Bình Dương, ",Bình Dương,0918.202.139                            ,voithaihoa@gmail.com                              ,http://voithaihoa.com,"Vôi Bột, Vôi Cục, Vôi Củ"
